Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Viktor AXELSEN [1],,,,,
,Viktor AXELSEN [1],,,,
Riku HATANO,20-22 21-16 21-9 (0:56),,,,
,,Viktor AXELSEN [1],,,
WANG Po-Wei,,21-13 21-18 (0:41),,,
,Alwi FARHAN,,,,
Alwi FARHAN,21-15 21-16 (0:42),,,,
,,,Viktor AXELSEN [1],,
Rasmus GEMKE [6],,,11-21 21-13 21-9 (0:57),,
,Rasmus GEMKE [6],,,,
Mads CHRISTOPHERSEN,14-21 21-18 21-19 (1:11),,,,
,,Jason GUNAWAN,,,
Jason GUNAWAN,,21-11 15-21 21-13 (1:03),,,
,Jason GUNAWAN,,,,
Ayush SHETTY,21-15 21-16 (0:44),,,,
,,,,Viktor AXELSEN [1],
Toma Junior POPOV [3],,,,21-19 17-21 21-17 (1:17),
,Toma Junior POPOV [3],,,,
Joran KWEEKEL,21-14 21-15 (0:46),,,,
,,Toma Junior POPOV [3],,,
KIDAMBI Srikanth,,16-21 21-18 21-4 (0:55),,,
,Priyanshu RAJAWAT,,,,
Priyanshu RAJAWAT,21-14 21-12 (0:35),,,,
,,,Toma Junior POPOV [3],,
Brian YANG [8],,,16-21 21-17 21-8 (1:09),,
,Brian YANG [8],,,,
Kalle KOLJONEN,21-19 18-21 21-11 (1:12),,,,
,,Tharun MANNEPALLI,,,
Magnus JOHANNESEN,,21-14 15-21 21-17 (1:01),,,
,Tharun MANNEPALLI,,,,
Tharun MANNEPALLI,10-21 21-19 21-19 (1:05),,,,
,,,,,Viktor AXELSEN [1]
Kiran GEORGE,,,,,21-19 21-18 (0:54)
,Kiran GEORGE,,,,
Joakim OLDORFF,21-18 19-21 21-16 (0:59),,,,
,,WANG Zheng Xing [7],,,
Kantaphon WANGCHAROEN,,21-18 21-13 (0:31),,,
,WANG Zheng Xing [7],,,,
WANG Zheng Xing [7],21-13 21-9 (0:36),,,,
,,,Koo TAKAHASHI,,
Koo TAKAHASHI,,,21-19 11-21 21-17 (1:21),,
,Koo TAKAHASHI,,,,
JEON Hyeok Jin,19-21 22-20 21-13 (1:29),,,,
,,Koo TAKAHASHI,,,
Julien CARRAGGI,,21-16 6-21 25-23 (1:17),,,
,Christo POPOV [4],,,,
Christo POPOV [4],21-17 21-13 (0:41),,,,
,,,,LOH Kean Yew [2],
Takuma OBAYASHI,,,,21-13 21-14 (0:46),
,JUSTIN HOH Shou Wei,,,,
JUSTIN HOH Shou Wei,21-19 19-21 21-19 (1:13),,,,
,,Jia Heng Jason TEH [5],,,
Nhat NGUYEN,,18-21 21-19 21-12 (1:10),,,
,Jia Heng Jason TEH [5],,,,
Jia Heng Jason TEH [5],19-21 21-16 21-17 (1:27),,,,
,,,LOH Kean Yew [2],,
SU Li Yang,,,21-10 21-14 (0:35),,
,CHEAM June Wei,,,,
CHEAM June Wei,23-21 21-13 (0:44),,,,
,,LOH Kean Yew [2],,,
Arnaud MERKLE,,19-21 21-13 21-12 (0:54),,,
,LOH Kean Yew [2],,,,
LOH Kean Yew [2],21-13 21-16 (0:36),,,,
,,,,,
