Year,Winner,Runner-up,Final Score
2025,Viktor AXELSEN,LOH Kean Yew,21-19 / 21-18
2024,Christo POPOV,Rasmus GEMKE,21-17 / 21-16
2023,NG Ka Long Angus,LI Shifeng,20-22 / 21-18 / 21-18
2022,Kunlavut VITIDSARN,Lakshya SEN,21-18 / 21-15
2019,Kento MOMOTA,Kenta NISHIMOTO,21-10 / 21-16
2018,CHOU Tien Chen,NG Ka Long Angus,21-19 / 18-21 / 21-18
2017,CHOU Tien Chen,WANG Tzu Wei,21-16 / 21-14
2016,LIN Dan,CHOU Tien Chen,15-21 / 21-17 / 21-17
2015,Jan O JORGENSEN,Dionysius Hayom RUMBAKA,21-12 / 21-13
2014,Arvind BHAT,Hans-Kristian Solberg VITTINGHUS,24-22 / 19-21 / 21-11
2013,CHEN Long,Tommy SUGIARTO,21-17 / 21-11
2012,LIN Dan,Simon SANTOSO,21-11 / 21-11
2011,LIN Dan,CHEN Jin,21-19 / 21-11
2010,BAO Chunlai,CHEN Long,21-13 / 21-10
2009,BAO Chunlai,GONG Weijie,21-18 / 21-14
2008,LEE Hyun Il,Sho SASAKI,22-20 / 21-5
2006,CHEN Jin,CHEN Hong,15-3 / 15-7
2005,LIN Dan,Muhammad Hafiz HASHIM,15-8 / 15-8
2004,LIN Dan,XIA Xuanze,17-16 / 15-9
2003,LEE Hyun Il,LIN Dan,15-4 / 15-4
2002,Niels Christian KALDAU,Bjoern JOPPIEN,15-6 / 15-11
2001,Kenneth JONASSEN,Niels Christian KALDAU,7-1 / 7-8 / 8-6
2000,Vladislav DRUZCHENKO,HARIYANTO Agus,17-15 / 15-4
1999,XIA Xuanze,PULLELA Gopichand,15-3 / 13-15 / 15-4
1997,Peter Hoeg GADE,Poul-Erik HOYER,12-15 / 15-12 / 15-12
1996,Rashid SIDEK,Ewe Hock ONG,15-11 / 15-2
1995,Joko SUPRIANTO,Poul-Erik HOYER,17-14 / 15-11
1994,Poul-Erik HOYER,Jens OLSSON,15-3 / 15-9
1993,Thomas STUER-LAURIDSEN,Allan BUDI KUSUMA,15-5 / 15-2
1992,Allan BUDI KUSUMA,Joko SUPRIANTO,15-11 / 15-2
1991,Poul-Erik HOYER,Hermawan SUSANTO,15-8 / 15-8
1990,PERMADI Fung,Jens Peter NIERHOFF,W.O.
1989,Morten FROST HANSEN,Stephen J. BADDELEY,15-6 / 15-4
